univCanon,univRaw,year,type,detail,dept,quota,comp,addPass,g50,g70
가야대학교,가야대학교,2023,교과전형,인문계고전형,간호학과,100,2.02,316,3.38,3.50
가야대학교,가야대학교,2023,교과전형,인문계고전형,물리치료학과,39,1.96,181,3.75,4.00
가야대학교,가야대학교,2023,교과전형,일반전형,간호학과,15,1.82,85,3.25,3.75
가야대학교,가야대학교,2023,교과전형,일반전형,물리치료학과,2,6.75,10,1.38,1.38
가야대학교,가야대학교,2023,교과전형,일반전형,방사선학과,45,1.21,211,4.50,4.88
가야대학교,가야대학교,2023,교과전형,일반전형,사회복지상담학과,25,1.01,80,5.25,5.75
가야대학교,가야대학교,2023,교과전형,일반전형,스포츠재활복지학과,54,1.01,112,4.25,4.75
가야대학교,가야대학교,2023,교과전형,일반전형,작업치료학과,25,1.00,90,4.63,5.25
가야대학교,가야대학교,2023,교과전형,일반전형,특수교육과,25,1.02,38,4.38,4.88
가야대학교,가야대학교,2023,교과전형,지역인재전형,간호학과,30,2.57,61,3.25,3.38
가야대학교,가야대학교,2023,교과전형,지역인재전형,물리치료학과,10,2.25,26,3.63,3.88
가야대학교,가야대학교,2024,교과전형,가야인재전형,간호학과,110,1.43,395,3.38,3.75
가야대학교,가야대학교,2024,교과전형,가야인재전형,물리치료학과,41,1.94,113,3.63,3.75
가야대학교,가야대학교,2024,교과전형,일반전형,간호학과,16,2.09,82,2.88,3.00
가야대학교,가야대학교,2024,교과전형,일반전형,물리치료학과,2,2.06,14,3.25,3.25
가야대학교,가야대학교,2024,교과전형,일반전형,방사선학과,45,1.05,204,4.90,4.90
가야대학교,가야대학교,2024,교과전형,일반전형,부동산금융재테크학과,39,0.54,,3.00,3.88
가야대학교,가야대학교,2024,교과전형,일반전형,사회복지상담학과,40,0.65,,5.75,7.70
가야대학교,가야대학교,2024,교과전형,일반전형,스포츠재활복지학과,45,0.99,87,4.75,5.13
가야대학교,가야대학교,2024,교과전형,일반전형,특수교육과,24,1.00,9,3.13,4.38
가야대학교,가야대학교,2024,교과전형,지역인재전형,간호학과,18,1.49,86,3.25,2.00
가야대학교,가야대학교,2024,교과전형,지역인재전형,물리치료학과,8,2.94,27,1.88,3.50
가야대학교,가야대학교,2025,교과전형,가야인재전형,간호학과,110,1.32,356,3.60,3.88
가야대학교,가야대학교,2025,교과전형,가야인재전형,물리치료학과,41,1.41,130,4.03,4.25
가야대학교,가야대학교,2025,교과전형,일반전형,간호학과,16,1.58,90,2.75,3.50
가야대학교,가야대학교,2025,교과전형,일반전형,물리치료학과,2,2.29,22,2.63,2.63
가야대학교,가야대학교,2025,교과전형,일반전형,방사선학과,44,1.16,213,4.00,4.38
가야대학교,가야대학교,2025,교과전형,일반전형,부동산금융재테크학과,30,1.33,0,,5.63
가야대학교,가야대학교,2025,교과전형,일반전형,사회복지상담학과,40,1.06,4,,
가야대학교,가야대학교,2025,교과전형,일반전형,스포츠재활복지학과,45,1.00,99,4.63,5.00
가야대학교,가야대학교,2025,교과전형,일반전형,특수교육과,26,1.02,21,4.50,5.38
가야대학교,가야대학교,2025,교과전형,지역인재전형,간호학과,18,1.33,54,3.16,3.75
가야대학교,가야대학교,2025,교과전형,지역인재전형,물리치료학과,8,1.54,29,2.86,3.25
가야대학교,가야대학교,2026,교과전형,가야인재전형,간호학과,110,1.84,249,3.38,3.50
가야대학교,가야대학교,2026,교과전형,가야인재전형,물리치료학과,37,1.63,113,3.75,3.88
가야대학교,가야대학교,2026,교과전형,일반전형,간호학과,17,2.16,73,2.75,3.13
가야대학교,가야대학교,2026,교과전형,일반전형,물리치료학과,4,3.04,20,2.75,2.75
가야대학교,가야대학교,2026,교과전형,일반전형,방사선학과,44,2.09,116,3.75,3.88
가야대학교,가야대학교,2026,교과전형,일반전형,사회복지상담학과,40,1.03,0,6.00,7.00
가야대학교,가야대학교,2026,교과전형,일반전형,스포츠재활복지학과,40,1.52,90,4.25,4.50
가야대학교,가야대학교,2026,교과전형,일반전형,자유전공학부,14,0.64,0,,
가야대학교,가야대학교,2026,교과전형,일반전형,치유웰니스학과,19,1.00,4,6.00,6.00
가야대학교,가야대학교,2026,교과전형,일반전형,특수교육과,25,1.00,26,4.88,5.13
가야대학교,가야대학교,2026,교과전형,지역인재전형,간호학과,18,1.47,69,3.25,3.63
가야대학교,가야대학교,2026,교과전형,지역인재전형,물리치료학과,10,1.24,36,3.88,4.38
가천대학교,가천대학교,2023,교과전형,지역균형전형,간호학과,23,12.79,34,2.24,2.45
가천대학교,가천대학교,2023,교과전형,지역균형전형,건축학부,10,20.28,15,3.36,3.52
가천대학교,가천대학교,2023,교과전형,지역균형전형,경영학과,18,22.62,12,2.84,2.90
가천대학교,가천대학교,2023,교과전형,지역균형전형,경제학과,8,20.80,6,3.26,3.42
가천대학교,가천대학교,2023,교과전형,지역균형전형,경찰행정학과,6,22.03,1,2.62,2.63
가천대학교,가천대학교,2023,교과전형,지역균형전형,관광경영학과,6,10.64,5,2.50,2.65
가천대학교,가천대학교,2023,교과전형,지역균형전형,금융・빅데이터학부,6,6.15,6,3.38,3.66
가천대학교,가천대학교,2023,교과전형,지역균형전형,기계공학부,10,7.26,21,3.21,3.32
가천대학교,가천대학교,2023,교과전형,지역균형전형,도시계획・조경학부,8,20.09,1,3.65,3.73
가천대학교,가천대학교,2023,교과전형,지역균형전형,물리치료학과,5,15.86,2,2.29,2.39
가천대학교,가천대학교,2023,교과전형,지역균형전형,물리학과,6,7.10,6,3.76,3.91
가천대학교,가천대학교,2023,교과전형,지역균형전형,미디어커뮤니케이션학과,6,16.36,5,2.69,3.03
가천대학교,가천대학교,2023,교과전형,지역균형전형,미술・디자인학부(패션디자인),5,18.44,4,3.16,3.29
가천대학교,가천대학교,2023,교과전형,지역균형전형,바이오나노학과,6,13.20,4,2.83,3.17
가천대학교,가천대학교,2023,교과전형,지역균형전형,방사선학과,5,13.13,3,3.06,3.08
가천대학교,가천대학교,2023,교과전형,지역균형전형,배터리공학전공,5,15.67,1,3.49,3.76
가천대학교,가천대학교,2023,교과전형,지역균형전형,법과대학,8,14.48,11,3.18,3.19
가천대학교,가천대학교,2023,교과전형,지역균형전형,사회복지학과,6,16.64,5,3.05,3.12
가천대학교,가천대학교,2023,교과전형,지역균형전형,산업공학전공,5,7.50,7,3.45,3.61
가천대학교,가천대학교,2023,교과전형,지역균형전형,생명과학과,6,12.12,9,2.70,2.94
가천대학교,가천대학교,2023,교과전형,지역균형전형,설비・소방공학과,7,14.00,5,3.77,3.92
가천대학교,가천대학교,2023,교과전형,지역균형전형,소프트웨어전공,10,11.05,10,2.90,2.95
가천대학교,가천대학교,2023,교과전형,지역균형전형,스마트보안학과,5,24.29,2,3.37,3.55
가천대학교,가천대학교,2023,교과전형,지역균형전형,스마트시티융합학과,5,7.33,7,3.69,3.76
가천대학교,가천대학교,2023,교과전형,지역균형전형,스마트팩토리학과,5,20.29,2,3.63,3.74
가천대학교,가천대학교,2023,교과전형,지역균형전형,시스템반도체학과,5,8.70,5,3.41,3.45
가천대학교,가천대학교,2023,교과전형,지역균형전형,식품생명공학과,5,25.78,4,2.92,3.13
가천대학교,가천대학교,2023,교과전형,지역균형전형,식품영양학과,6,9.60,9,2.97,2.98
가천대학교,가천대학교,2023,교과전형,지역균형전형,신소재공학과,5,14.10,5,2.92,3.38
가천대학교,가천대학교,2023,교과전형,지역균형전형,심리학과,6,15.18,4,2.82,2.96
가천대학교,가천대학교,2023,교과전형,지역균형전형,약학과,3,24.00,0,1.43,1.53
가천대학교,가천대학교,2023,교과전형,지역균형전형,외국어계열,21,11.05,25,3.55,3.67
가천대학교,가천대학교,2023,교과전형,지역균형전형,운동재활학과,5,13.83,7,2.63,2.90
가천대학교,가천대학교,2023,교과전형,지역균형전형,유아교육학과,7,12.95,9,2.73,2.93
가천대학교,가천대학교,2023,교과전형,지역균형전형,응용통계학과,6,13.02,4,3.05,3.17
가천대학교,가천대학교,2023,교과전형,지역균형전형,의공학과,7,14.78,2,3.05,3.11
가천대학교,가천대학교,2023,교과전형,지역균형전형,의료산업경영학과,6,18.15,2,3.28,3.30
가천대학교,가천대학교,2023,교과전형,지역균형전형,의예과,5,11.88,3,1.10,1.10
가천대학교,가천대학교,2023,교과전형,지역균형전형,인공지능학과,15,16.50,9,3.31,3.58
가천대학교,가천대학교,2023,교과전형,지역균형전형,자유전공학부,7,16.90,13,3.23,3.41
가천대학교,가천대학교,2023,교과전형,지역균형전형,전기공학과,7,5.46,13,3.61,3.66
가천대학교,가천대학교,2023,교과전형,지역균형전형,전자공학전공,15,7.50,16,3.15,3.28
가천대학교,가천대학교,2023,교과전형,지역균형전형,치위생학과,5,17.17,1,2.94,3.06
가천대학교,가천대학교,2023,교과전형,지역균형전형,컴퓨터공학과,15,10.55,13,2.97,3.05
가천대학교,가천대학교,2023,교과전형,지역균형전형,토목환경공학과,5,21.67,1,3.54,3.55
가천대학교,가천대학교,2023,교과전형,지역균형전형,한국어문학과,6,12.13,3,3.09,3.29
가천대학교,가천대학교,2023,교과전형,지역균형전형,한의예과,3,12.15,3,1.47,1.51
가천대학교,가천대학교,2023,교과전형,지역균형전형,행정학과,7,14.16,6,2.92,2.94
가천대학교,가천대학교,2023,교과전형,지역균형전형,화공생명배터리공학부,10,24.06,7,2.80,2.91
가천대학교,가천대학교,2023,교과전형,지역균형전형,화학과,6,6.82,10,2.76,2.85
가천대학교,가천대학교,2023,교과전형,지역균형전형,회계세무학과,7,15.48,2,2.82,3.04
가천대학교,가천대학교,2023,교과전형,학생부전형,간호학과,39,2.76,64,1.87,2.07
가천대학교,가천대학교,2023,교과전형,학생부전형,건축학부,17,4.23,20,2.84,3.12
가천대학교,가천대학교,2023,교과전형,학생부전형,경영학과,35,3.98,75,2.60,2.73
가천대학교,가천대학교,2023,교과전형,학생부전형,경제학과,10,4.17,25,2.73,2.90
가천대학교,가천대학교,2023,교과전형,학생부전형,경찰행정학과,6,4.43,12,2.24,2.49
가천대학교,가천대학교,2023,교과전형,학생부전형,관광경영학과,7,4.08,10,2.90,2.99
가천대학교,가천대학교,2023,교과전형,학생부전형,금융・빅데이터학부,7,4.90,11,2.82,2.87
가천대학교,가천대학교,2023,교과전형,학생부전형,기계공학부,11,1.90,33,3.74,4.68
가천대학교,가천대학교,2023,교과전형,학생부전형,도시계획・조경학부,10,3.09,22,3.02,3.22
가천대학교,가천대학교,2023,교과전형,학생부전형,물리치료학과,5,20.20,0,1.21,1.44
가천대학교,가천대학교,2023,교과전형,학생부전형,물리학과,6,4.20,14,3.04,3.04
가천대학교,가천대학교,2023,교과전형,학생부전형,미디어커뮤니케이션학과,8,3.98,27,2.63,2.75
가천대학교,가천대학교,2023,교과전형,학생부전형,미술・디자인학부(패션디자인),6,13.80,4,2.70,2.89
가천대학교,가천대학교,2023,교과전형,학생부전형,바이오나노학과,7,3.95,7,2.45,2.46
가천대학교,가천대학교,2023,교과전형,학생부전형,방사선학과,5,5.19,11,2.36,2.63
